gid,in_deg,out_deg,in_kzt,out_kzt,pass_through,depth,is_seed,truncated_by_depth,cluster_id,role,role_score,rule_id,evidence,rule_description,priority_turnover,priority_degree,priority_role,priority_score,why
100000000011452100,3,1,110000.0,16685.0,0.1516818181818182,1,False,False,1,consolidator,0.7,many_in_low_out,Гипотеза консолидации. Вход: 3/110000 KZT; выход: 1/16685 KZT; k=0.15; depth=1.,не seed; in_deg≥3; k≤0.5; предыдущие правила не сработали,0.6227758007117438,0.8879003558718861,0.595,0.69398,"P=0.694: оборот 0.62×0.4, связи 0.89×0.3, роль 0.59×0.3. Гипотеза консолидации. Вход: 3/110000 KZT; выход: 1/16685 KZT; k=0.15; depth=1."
100000000018102100,1,0,7000.0,0.0,0.0,4,False,True,6,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/7000 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.04759786476868327,0.6258896797153025,0.010000000000000002,0.209806,"P=0.210: оборот 0.05×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/7000 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000031787100,1,2,90000.0,90000.0,1.0,2,False,False,8,transit,0.6,balanced_observed_flow,Гипотеза транзита. Вход: 1/90000 KZT; выход: 2/90000 KZT; k=1.00; depth=2.,"не seed; in_deg>0, out_deg>0; 0.8≤k≤1.2; предыдущие правила не сработали",0.6890569395017794,0.8514234875444839,0.39,0.64805,"P=0.648: оборот 0.69×0.4, связи 0.85×0.3, роль 0.39×0.3. Гипотеза транзита. Вход: 1/90000 KZT; выход: 2/90000 KZT; k=1.00; depth=2."
100000000041368100,1,0,160000.0,0.0,0.0,1,False,False,3,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/160000 KZT; выход: 0/0 KZT; k=0.00; depth=1.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.6677046263345195,0.6258896797153025,0.025,0.462349,"P=0.462: оборот 0.67×0.4, связи 0.63×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/160000 KZT; выход: 0/0 KZT; k=0.00; depth=1."
100000000076451100,3,4,87707.0,58000.0,0.661292713238396,2,False,False,15,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 3/87707 KZT; выход: 4/58000 KZT; k=0.66; depth=2.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.6432384341637011,0.9435053380782918,0.025,0.547847,"P=0.548: оборот 0.64×0.4, связи 0.94×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 3/87707 KZT; выход: 4/58000 KZT; k=0.66; depth=2."
100000000089154100,1,15,10000.0,425500.0,42.55,1,False,False,1,distributor,0.75,fan_out,Гипотеза распределения. Вход: 1/10000 KZT; выход: 15/425500 KZT; k=42.55; depth=1.,out_deg≥10; предыдущее правило не сработало,0.8362989323843416,0.9822064056939501,0.6000000000000001,0.809181,"P=0.809: оборот 0.84×0.4, связи 0.98×0.3, роль 0.60×0.3. Гипотеза распределения. Вход: 1/10000 KZT; выход: 15/425500 KZT; k=42.55; depth=1."
100000000190228100,1,1,5000.0,28560.0,5.712,2,False,False,9,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/5000 KZT; выход: 1/28560 KZT; k=5.71; depth=2.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.33451957295373663,0.7704626334519573,0.025,0.372447,"P=0.372: оборот 0.33×0.4, связи 0.77×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/5000 KZT; выход: 1/28560 KZT; k=5.71; depth=2."
100000000201868100,1,1,190000.0,190000.0,1.0,2,False,False,4,transit,0.6,balanced_observed_flow,Гипотеза транзита. Вход: 1/190000 KZT; выход: 1/190000 KZT; k=1.00; depth=2.,"не seed; in_deg>0, out_deg>0; 0.8≤k≤1.2; предыдущие правила не сработали",0.8171708185053381,0.7704626334519573,0.39,0.675007,"P=0.675: оборот 0.82×0.4, связи 0.77×0.3, роль 0.39×0.3. Гипотеза транзита. Вход: 1/190000 KZT; выход: 1/190000 KZT; k=1.00; depth=2."
100000000254336100,2,1,97177.0,60000.0,0.6174300503205491,3,False,False,1,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 2/97177 KZT; выход: 1/60000 KZT; k=0.62; depth=3.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.6650355871886121,0.8514234875444839,0.025,0.528941,"P=0.529: оборот 0.67×0.4, связи 0.85×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 2/97177 KZT; выход: 1/60000 KZT; k=0.62; depth=3."
100000000267734100,2,7,180000.0,282000.0,1.5666666666666667,1,False,False,8,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 2/180000 KZT; выход: 7/282000 KZT; k=1.57; depth=1.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.8500889679715302,0.9590747330960854,0.025,0.635258,"P=0.635: оборот 0.85×0.4, связи 0.96×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 2/180000 KZT; выход: 7/282000 KZT; k=1.57; depth=1."
100000000274067100,2,3,517704.0,2969000.0,5.734937338710924,1,False,False,8,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 2/517704 KZT; выход: 3/2969000 KZT; k=5.73; depth=1.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.9866548042704626,0.9123665480427047,0.025,0.675872,"P=0.676: оборот 0.99×0.4, связи 0.91×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 2/517704 KZT; выход: 3/2969000 KZT; k=5.73; depth=1."
100000000287768100,1,0,35168.0,0.0,0.0,3,False,False,1,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/35168 KZT; выход: 0/0 KZT; k=0.00; depth=3.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.34653024911032027,0.6258896797153025,0.025,0.333879,"P=0.334: оборот 0.35×0.4, связи 0.63×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/35168 KZT; выход: 0/0 KZT; k=0.00; depth=3."
100000000288317100,2,3,100000.0,53500.0,0.535,3,False,False,6,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 2/100000 KZT; выход: 3/53500 KZT; k=0.54; depth=3.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.6592526690391459,0.9123665480427047,0.025,0.544911,"P=0.545: оборот 0.66×0.4, связи 0.91×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 2/100000 KZT; выход: 3/53500 KZT; k=0.54; depth=3."
