gid,in_deg,out_deg,in_kzt,out_kzt,pass_through,depth,is_seed,truncated_by_depth,cluster_id,role,role_score,rule_id,evidence,rule_description,priority_turnover,priority_degree,priority_role,priority_score,why
100000000291906100,2,2,388000.0,455854.0,1.1748814432989692,2,False,False,50,transit,0.6,balanced_observed_flow,Гипотеза транзита. Вход: 2/388000 KZT; выход: 2/455854 KZT; k=1.17; depth=2.,"не seed; in_deg>0, out_deg>0; 0.8≤k≤1.2; предыдущие правила не сработали",0.9141459074733096,0.8879003558718861,0.39,0.749028,"P=0.749: оборот 0.91×0.4, связи 0.89×0.3, роль 0.39×0.3. Гипотеза транзита. Вход: 2/388000 KZT; выход: 2/455854 KZT; k=1.17; depth=2."
100000000291908100,1,1,295500.0,13300.0,0.045008460236886635,3,False,False,50,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/295500 KZT; выход: 1/13300 KZT; k=0.05; depth=3.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.7851423487544484,0.7704626334519573,0.025,0.552696,"P=0.553: оборот 0.79×0.4, связи 0.77×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/295500 KZT; выход: 1/13300 KZT; k=0.05; depth=3."
100000000297649100,1,1,40000.0,70600.0,1.765,2,False,False,11,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/40000 KZT; выход: 1/70600 KZT; k=1.76; depth=2.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.6005338078291815,0.7704626334519573,0.025,0.478852,"P=0.479: оборот 0.60×0.4, связи 0.77×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/40000 KZT; выход: 1/70600 KZT; k=1.76; depth=2."
100000000299820100,1,0,10000.0,0.0,0.0,4,False,True,6,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/10000 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.09208185053380782,0.6258896797153025,0.010000000000000002,0.2276,"P=0.228: оборот 0.09×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/10000 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000307908100,1,0,5000.0,0.0,0.0,2,False,False,43,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/5000 KZT; выход: 0/0 KZT; k=0.00; depth=2.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.023131672597864767,0.6258896797153025,0.025,0.20452,"P=0.205: оборот 0.02×0.4, связи 0.63×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/5000 KZT; выход: 0/0 KZT; k=0.00; depth=2."
100000000331309100,5,99,984635.0,23001375.0,23.360306103276848,2,False,False,7,coordinator,0.65,coordinator_both_sides,Гипотеза связующего узла. Вход: 5/984635 KZT; выход: 99/23001375 KZT; k=23.36; depth=2.,"in_deg≥3, out_deg≥3, оборот≥1441669.75 KZT (Q95)",1.0,0.9991103202846975,0.65,0.894733,"P=0.895: оборот 1.00×0.4, связи 1.00×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 5/984635 KZT; выход: 99/23001375 KZT; k=23.36; depth=2."
100000000332284100,10,3,107426.0,289500.0,2.69487833485376,2,False,False,7,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 10/107426 KZT; выход: 3/289500 KZT; k=2.69; depth=2.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.822508896797153,0.974644128113879,0.025,0.628897,"P=0.629: оборот 0.82×0.4, связи 0.97×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 10/107426 KZT; выход: 3/289500 KZT; k=2.69; depth=2."
100000000343175100,8,31,178712.0,4000039.0,22.382598818210305,0,True,False,10,coordinator,0.52,coordinator_both_sides,Гипотеза связующего узла. Вход seed неполон. Вход: 8/178712 KZT; выход: 31/4000039 KZT; k=22.38; depth=0.,"in_deg≥3, out_deg≥3, оборот≥1441669.75 KZT (Q95)",0.9897686832740213,0.9951067615658363,0.52,0.85044,"P=0.850: оборот 0.99×0.4, связи 1.00×0.3, роль 0.52×0.3. Гипотеза связующего узла. Вход seed неполон. Вход: 8/178712 KZT; выход: 31/4000039 KZT; k=22.38; depth=0."
100000000369781100,1,0,5000.0,0.0,0.0,4,False,True,7,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/5000 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.023131672597864767,0.6258896797153025,0.010000000000000002,0.20002,"P=0.200: оборот 0.02×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/5000 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000375150100,1,0,300000.0,0.0,0.0,4,False,True,13,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/300000 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.780693950177936,0.6258896797153025,0.010000000000000002,0.503044,"P=0.503: оборот 0.78×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/300000 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000404740100,1,0,25000.0,0.0,0.0,4,False,True,25,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/25000 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.26601423487544484,0.6258896797153025,0.010000000000000002,0.297173,"P=0.297: оборот 0.27×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/25000 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000408846100,1,0,40500.0,0.0,0.0,3,False,False,26,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/40500 KZT; выход: 0/0 KZT; k=0.00; depth=3.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.37544483985765126,0.6258896797153025,0.025,0.345445,"P=0.345: оборот 0.38×0.4, связи 0.63×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/40500 KZT; выход: 0/0 KZT; k=0.00; depth=3."
100000000413678100,2,3,306500.0,528198.0,1.723321370309951,3,False,False,6,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 2/306500 KZT; выход: 3/528198 KZT; k=1.72; depth=3.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.9132562277580071,0.9123665480427047,0.025,0.646512,"P=0.647: оборот 0.91×0.4, связи 0.91×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 2/306500 KZT; выход: 3/528198 KZT; k=1.72; depth=3."
100000000424935100,1,0,15000.0,0.0,0.0,4,False,True,28,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/15000 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.14412811387900357,0.6258896797153025,0.010000000000000002,0.248418,"P=0.248: оборот 0.14×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/15000 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000425407100,1,0,20000.0,0.0,0.0,2,False,False,3,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/20000 KZT; выход: 0/0 KZT; k=0.00; depth=2.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.2157473309608541,0.6258896797153025,0.025,0.281566,"P=0.282: оборот 0.22×0.4, связи 0.63×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/20000 KZT; выход: 0/0 KZT; k=0.00; depth=2."
100000000437046100,9,42,1107200.0,7606224.0,6.86978323699422,2,False,False,1,coordinator,0.65,coordinator_both_sides,Гипотеза связующего узла. Вход: 9/1107200 KZT; выход: 42/7606224 KZT; k=6.87; depth=2.,"in_deg≥3, out_deg≥3, оборот≥1441669.75 KZT (Q95)",0.9977758007117438,0.99644128113879,0.65,0.893043,"P=0.893: оборот 1.00×0.4, связи 1.00×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 9/1107200 KZT; выход: 42/7606224 KZT; k=6.87; depth=2."
100000000440392100,1,0,105705.0,0.0,0.0,1,False,False,4,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/105705 KZT; выход: 0/0 KZT; k=0.00; depth=1.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.5929715302491103,0.6258896797153025,0.025,0.432456,"P=0.432: оборот 0.59×0.4, связи 0.63×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/105705 KZT; выход: 0/0 KZT; k=0.00; depth=1."
100000000456947100,0,0,0.0,0.0,,0,True,False,72,peripheral,0.1,seed_no_outgoing,Seed без исходящих; нет наблюдаемых связей. Вход: 0/0 KZT; выход: 0/0 KZT; k=н/д; depth=0.,is_seed=True и out_deg=0: недостаточно данных о функции seed,0.0,0.0,0.010000000000000002,0.0,"P=0.000: оборот 0.00×0.4, связи 0.00×0.3, роль 0.01×0.3. Seed без исходящих; нет наблюдаемых связей. Вход: 0/0 KZT; выход: 0/0 KZT; k=н/д; depth=0."
100000000470237100,1,0,32500.0,0.0,0.0,4,False,True,28,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/32500 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.3309608540925267,0.6258896797153025,0.010000000000000002,0.323151,"P=0.323: оборот 0.33×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/32500 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000481716100,1,0,8000.0,0.0,0.0,3,False,False,9,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/8000 KZT; выход: 0/0 KZT; k=0.00; depth=3.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.054270462633451956,0.6258896797153025,0.025,0.216975,"P=0.217: оборот 0.05×0.4, связи 0.63×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/8000 KZT; выход: 0/0 KZT; k=0.00; depth=3."
100000000489417100,3,1,73504.0,80000.0,1.0883761427949499,2,False,False,13,transit,0.6,balanced_observed_flow,Гипотеза транзита. Вход: 3/73504 KZT; выход: 1/80000 KZT; k=1.09; depth=2.,"не seed; in_deg>0, out_deg>0; 0.8≤k≤1.2; предыдущие правила не сработали",0.6596975088967971,0.8879003558718861,0.39,0.647249,"P=0.647: оборот 0.66×0.4, связи 0.89×0.3, роль 0.39×0.3. Гипотеза транзита. Вход: 3/73504 KZT; выход: 1/80000 KZT; k=1.09; depth=2."
100000000490383100,3,8,62600.0,461375.0,7.37020766773163,2,False,False,4,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 3/62600 KZT; выход: 8/461375 KZT; k=7.37; depth=2.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.87144128113879,0.9697508896797153,0.025,0.647002,"P=0.647: оборот 0.87×0.4, связи 0.97×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 3/62600 KZT; выход: 8/461375 KZT; k=7.37; depth=2."
100000000500040100,1,0,20000.0,0.0,0.0,4,False,True,1,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/20000 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.2157473309608541,0.6258896797153025,0.010000000000000002,0.277066,"P=0.277: оборот 0.22×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/20000 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000507799100,1,1,5132.0,8000.0,1.558846453624318,1,False,False,39,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/5132 KZT; выход: 1/8000 KZT; k=1.56; depth=1.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.11788256227758007,0.7704626334519573,0.025,0.285792,"P=0.286: оборот 0.12×0.4, связи 0.77×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/5132 KZT; выход: 1/8000 KZT; k=1.56; depth=1."
100000000533217100,1,0,53587.0,0.0,0.0,2,False,False,1,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/53587 KZT; выход: 0/0 KZT; k=0.00; depth=2.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.4524021352313167,0.6258896797153025,0.025,0.376228,"P=0.376: оборот 0.45×0.4, связи 0.63×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/53587 KZT; выход: 0/0 KZT; k=0.00; depth=2."
100000000534581100,2,1,55960.0,40000.0,0.7147962830593281,3,False,False,6,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 2/55960 KZT; выход: 1/40000 KZT; k=0.71; depth=3.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.568950177935943,0.8514234875444839,0.025,0.490507,"P=0.491: оборот 0.57×0.4, связи 0.85×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 2/55960 KZT; выход: 1/40000 KZT; k=0.71; depth=3."
100000000542087100,1,0,8506.91,0.0,0.0,4,False,True,36,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/8507 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.05693950177935943,0.6258896797153025,0.010000000000000002,0.213543,"P=0.214: оборот 0.06×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/8507 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000552584100,1,1,2500000.0,57500.0,0.023,3,False,False,23,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/2500000 KZT; выход: 1/57500 KZT; k=0.02; depth=3.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.9795373665480427,0.7704626334519573,0.025,0.630454,"P=0.630: оборот 0.98×0.4, связи 0.77×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/2500000 KZT; выход: 1/57500 KZT; k=0.02; depth=3."
100000000555721100,2,0,113000.0,0.0,0.0,1,False,False,1,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 2/113000 KZT; выход: 0/0 KZT; k=0.00; depth=1.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.6063167259786477,0.7704626334519573,0.025,0.481165,"P=0.481: оборот 0.61×0.4, связи 0.77×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 2/113000 KZT; выход: 0/0 KZT; k=0.00; depth=1."
100000000557536100,1,0,153000.0,0.0,0.0,4,False,True,36,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/153000 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.6583629893238434,0.6258896797153025,0.010000000000000002,0.454112,"P=0.454: оборот 0.66×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/153000 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000560751100,1,0,25000.0,0.0,0.0,3,False,False,13,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/25000 KZT; выход: 0/0 KZT; k=0.00; depth=3.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.26601423487544484,0.6258896797153025,0.025,0.301673,"P=0.302: оборот 0.27×0.4, связи 0.63×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/25000 KZT; выход: 0/0 KZT; k=0.00; depth=3."
100000000561160100,1,0,240000.0,0.0,0.0,4,False,True,3,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/240000 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.7437722419928826,0.6258896797153025,0.010000000000000002,0.488276,"P=0.488: оборот 0.74×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/240000 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000569479100,1,0,320000.0,0.0,0.0,3,False,False,1,terminal,0.5,observed_terminal,Гипотеза конечного получения. Вход: 1/320000 KZT; выход: 0/0 KZT; k=0.00; depth=3.,не seed; depth<4; out_deg=0; in_kzt≥166819.70 (Q75 положительных входов); предыдущие правила не сработали,0.7895907473309609,0.6258896797153025,0.25,0.578603,"P=0.579: оборот 0.79×0.4, связи 0.63×0.3, роль 0.25×0.3. Гипотеза конечного получения. Вход: 1/320000 KZT; выход: 0/0 KZT; k=0.00; depth=3."
100000000572276100,1,1,13075.0,34547.0,2.6422179732313578,3,False,False,2,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/13075 KZT; выход: 1/34547 KZT; k=2.64; depth=3.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.4128113879003559,0.7704626334519573,0.025,0.403763,"P=0.404: оборот 0.41×0.4, связи 0.77×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/13075 KZT; выход: 1/34547 KZT; k=2.64; depth=3."
100000000580561100,2,3,27980.0,1488077.0,53.183595425303785,0,True,False,44,peripheral,0.2,no_rule,Порогов ролей не достиг; требуется контекст. Вход seed неполон. Вход: 2/27980 KZT; выход: 3/1488077 KZT; k=53.18; depth=0.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.9537366548042705,0.9123665480427047,0.020000000000000004,0.661205,"P=0.661: оборот 0.95×0.4, связи 0.91×0.3, роль 0.02×0.3. Порогов ролей не достиг; требуется контекст. Вход seed неполон. Вход: 2/27980 KZT; выход: 3/1488077 KZT; k=53.18; depth=0."
100000000581662100,1,0,21160.0,0.0,0.0,4,False,True,12,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/21160 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.22419928825622776,0.6258896797153025,0.010000000000000002,0.280447,"P=0.280: оборот 0.22×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/21160 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000581682100,1,0,5000.0,0.0,0.0,4,False,True,28,peripheral,0.1,depth_cutoff,Обрыв depth=4; продолжение неизвестно. Вход: 1/5000 KZT; выход: 0/0 KZT; k=0.00; depth=4.,depth=4 и out_deg=0: продолжение потока не наблюдается,0.023131672597864767,0.6258896797153025,0.010000000000000002,0.20002,"P=0.200: оборот 0.02×0.4, связи 0.63×0.3, роль 0.01×0.3. Обрыв depth=4; продолжение неизвестно. Вход: 1/5000 KZT; выход: 0/0 KZT; k=0.00; depth=4."
100000000583220100,1,1,5000.0,761255.0,152.251,3,False,False,67,peripheral,0.25,no_rule,Порогов ролей не достиг; требуется контекст. Вход: 1/5000 KZT; выход: 1/761255 KZT; k=152.25; depth=3.,Ни одно из упорядоченных правил ролей не выполнено; функция по этим метрикам не установлена,0.9039145907473309,0.7704626334519573,0.025,0.600205,"P=0.600: оборот 0.90×0.4, связи 0.77×0.3, роль 0.03×0.3. Порогов ролей не достиг; требуется контекст. Вход: 1/5000 KZT; выход: 1/761255 KZT; k=152.25; depth=3."
